Geography,Quarterly_Establishments,July_Employment,August_Employment,September_Employment,Total_Quarterly_Wages,Average_Weekly_Wage,September_Employment_Location_Quotient,Total_Quarterly_Wages_Location_Quotient
U.S. TOTAL,"10,275,524","147,253,522","148,250,867","148,701,484","$2,102,341,703,328 ","$1,092 ",1,1
Alabama,"129,709","1,985,905","1,992,731","1,991,119","23,768,113,015",919,1,1
"Autauga County, Alabama",893,"11,095","11,091","11,105","110,310,757",765,1,1
"Baldwin County, Alabama","6,469","78,789","77,404","75,888","732,508,657",728,1,1
"Barbour County, Alabama",564,"8,200","8,379","8,344","75,899,358",703,1,1
"Bibb County, Alabama",369,"4,639","4,612","4,711","49,274,537",814,1,1
"Blount County, Alabama",792,"8,668","8,725","8,767","77,390,192",683,1,1
"Bullock County, Alabama",180,"2,911","2,953","2,927","27,452,304",721,1,1
"Butler County, Alabama",487,"6,918","7,010","6,974","59,976,473",662,1,1
"Calhoun County, Alabama","2,535","44,574","44,871","44,550","462,110,866",796,1,1
"Chambers County, Alabama",623,"8,472","8,528","8,442","80,213,962",728,1,1
"Cherokee County, Alabama",412,"5,152","5,212","5,128","44,996,776",670,1,1
"Chilton County, Alabama",828,"9,548","9,536","9,571","93,403,913",752,1,1
"Choctaw County, Alabama",327,"3,495","3,495","3,500","45,002,894",990,1,1
"Clarke County, Alabama",656,"7,934","7,956","7,928","82,086,975",795,1,1
"Clay County, Alabama",221,"4,210","4,309","4,307","37,771,455",680,1,1
"Cleburne County, Alabama",234,"2,037","2,032","1,997","21,269,092",809,1,1
"Coffee County, Alabama","1,077","16,379","16,533","16,334","145,501,436",682,1,1
"Colbert County, Alabama","1,341","24,155","24,384","24,453","267,722,880",846,1,1
"Conecuh County, Alabama",258,"3,459","3,464","3,391","32,247,237",722,1,1
"Coosa County, Alabama",128,"1,454","1,452","1,427","13,025,562",694,1,1
"Covington County, Alabama",918,"12,238","12,270","12,342","112,586,185",705,1,1
"Crenshaw County, Alabama",265,"3,719","3,672","3,724","35,144,930",730,1,1
"Cullman County, Alabama","1,863","28,544","28,588","29,093","279,836,708",749,1,1
"Dale County, Alabama",884,"17,165","17,345","17,265","242,401,321","1,080",1,1
"Dallas County, Alabama",869,"12,125","12,075","12,187","120,002,465",761,1,1
"DeKalb County, Alabama","1,207","22,688","22,360","22,390","216,581,791",741,1,1
"Elmore County, Alabama","1,412","19,807","19,987","19,802","178,341,870",691,1,1
"Escambia County, Alabama",831,"12,949","12,973","12,984","127,851,122",758,1,1
"Etowah County, Alabama","2,107","35,448","35,516","35,611","330,343,722",715,1,1
"Fayette County, Alabama",339,"3,928","3,985","3,976","34,122,772",662,1,1
"Franklin County, Alabama",605,"11,135","11,266","11,174","103,100,414",709,1,1
"Geneva County, Alabama",505,"5,132","5,143","5,094","43,051,618",646,1,1
"Greene County, Alabama",165,"1,711","1,709","1,710","14,783,856",665,1,1
"Hale County, Alabama",289,"2,615","2,645","2,687","24,956,018",725,1,1
"Henry County, Alabama",343,"3,358","3,371","3,411","43,211,476",983,1,1
"Houston County, Alabama","3,010","49,135","48,925","49,039","518,850,799",814,1,1
"Jackson County, Alabama","1,002","15,550","15,515","15,498","143,144,977",709,1,1
"Jefferson County, Alabama","19,131","355,187","355,655","354,030","4,864,056,854","1,054",1,1
"Lamar County, Alabama",280,"3,508","3,519","3,495","35,099,279",770,1,1
"Lauderdale County, Alabama","2,123","29,339","29,465","29,582","261,971,738",684,1,1
"Lawrence County, Alabama",476,"4,842","4,882","5,010","43,207,163",677,1,1
"Lee County, Alabama","3,324","60,092","60,631","61,163","590,643,180",749,1,1
"Limestone County, Alabama","1,499","23,519","23,660","24,141","287,202,968",929,1,1
"Lowndes County, Alabama",185,"2,326","2,346","2,302","26,586,938",880,1,1
"Macon County, Alabama",241,"4,561","4,631","4,635","49,405,941",825,1,1
"Madison County, Alabama","9,986","206,362","206,998","206,621","3,207,401,971","1,194",1,1
"Marengo County, Alabama",523,"6,994","7,008","7,029","72,226,769",793,1,1
"Marion County, Alabama",629,"9,987","9,951","10,077","89,422,738",688,1,1
"Marshall County, Alabama","2,124","38,017","38,255","38,174","355,135,016",716,1,1
"Mobile County, Alabama","10,287","170,581","171,812","171,956","2,050,383,068",920,1,1
"Monroe County, Alabama",450,"6,288","6,277","6,272","67,134,321",822,1,1
"Montgomery County, Alabama","6,429","131,141","130,826","130,201","1,545,347,766",909,1,1
"Morgan County, Alabama","2,813","49,799","49,983","50,004","578,814,850",892,1,1
"Perry County, Alabama",164,"2,013","2,098","2,125","17,135,244",634,1,1
"Pickens County, Alabama",341,"3,674","3,776","3,740","37,290,795",769,1,1
"Pike County, Alabama",733,"14,091","14,345","14,411","143,446,899",773,1,1
"Randolph County, Alabama",410,"4,670","4,782","4,790","40,419,262",655,1,1
"Russell County, Alabama",939,"14,103","14,238","14,213","134,685,539",730,1,1
"St. Clair County, Alabama","1,565","20,026","20,101","19,993","197,600,897",758,1,1
"Shelby County, Alabama","5,910","85,038","84,831","84,509","1,111,450,256","1,008",1,1
"Sumter County, Alabama",247,"2,935","2,976","3,016","28,154,181",728,1,1
"Talladega County, Alabama","1,417","29,832","29,920","29,959","337,743,241",869,1,1
"Tallapoosa County, Alabama",871,"13,440","13,739","13,464","113,499,042",644,1,1
"Tuscaloosa County, Alabama","4,621","95,346","97,234","98,305","1,119,232,674",888,1,1
"Walker County, Alabama","1,410","18,255","18,359","18,374","178,545,550",749,1,1
"Washington County, Alabama",273,"3,512","3,531","3,598","54,199,642","1,175",1,1
"Wilcox County, Alabama",243,"2,857","2,827","2,813","32,573,864",885,1,1
"Winston County, Alabama",492,"8,209","8,403","8,405","77,768,776",717,1,1
"Unknown Or Undefined, Alabama","14,565","56,025","56,381","56,981","993,849,223","1,354",1,1
Alaska,"22,291","340,307","342,446","338,868","4,891,639,119","1,105",1,1
"Aleutians East Borough, Alaska",99,"3,669","3,591","3,045","53,031,704","1,188",1,1
"Aleutians West Census Area, Alaska",171,"3,748","3,798","3,567","63,335,191","1,315",1,1
"Anchorage Municipality, Alaska","8,200","147,797","148,985","150,842","2,229,364,353","1,149",1,1
"Bethel Census Area, Alaska",344,"6,710","6,935","6,980","81,177,504",908,1,1
"Bristol Bay Borough, Alaska",133,"4,257","1,604","1,254","38,954,868","1,263",1,1
"Denali Borough, Alaska",145,"3,756","3,835","3,272","40,489,110",860,1,1
"Dillingham Census Area, Alaska",163,"3,745","2,909","2,416","40,008,955","1,018",1,1
"Fairbanks North Star Borough, Alaska","2,287","37,330","38,778","38,224","536,320,355","1,083",1,1
"Haines Borough, Alaska",157,"1,525","1,474","1,289","13,730,069",739,1,1
"Hoonah-Angoon Census Area, Alaska",137,"1,150","1,157","1,060","10,489,135",719,1,1
"Juneau City and Borough, Alaska","1,119","18,790","19,200","18,707","253,922,845","1,034",1,1
"Kenai Peninsula Borough, Alaska","2,107","21,670","22,022","20,923","270,728,253",967,1,1
"Ketchikan Gateway Borough, Alaska",608,"8,609","8,568","8,389","102,062,552",921,1,1
"Kodiak Island Borough, Alaska",493,"6,468","6,440","6,241","83,586,949","1,007",1,1
"Kusilvak Census Area, Alaska",139,"1,999","2,566","2,673","17,411,894",555,1,1
"Lake and Peninsula Borough, Alaska",121,"1,376","1,224","1,058","15,051,197",950,1,1
"Matanuska-Susitna Borough, Alaska","2,280","23,965","24,704","25,797","289,569,806",897,1,1
"Nome Census Area, Alaska",307,"3,650","3,899","3,966","54,042,402","1,083",1,1
"North Slope Borough, Alaska",244,"12,055","12,449","12,461","307,401,390","1,919",1,1
