Geography,Quarterly_Establishments,July_Employment,August_Employment,September_Employment,Total_Quarterly_Wages,Average_Weekly_Wage,September_Employment_Location_Quotient,Total_Quarterly_Wages_Location_Quotient
U.S. TOTAL,"9,970,715","145,442,314","146,663,970","147,422,923","$2,009,000,489,248 ","$1,055 ",1,1
Alabama,"126,379","1,958,068","1,962,401","1,971,977","22,507,311,165",881,1,1
"Autauga County, Alabama",868,"11,003","11,027","11,033","101,598,186",709,1,1
"Baldwin County, Alabama","6,249","74,192","75,685","77,577","679,743,029",690,1,1
"Barbour County, Alabama",554,"8,071","8,066","8,163","76,797,205",729,1,1
"Bibb County, Alabama",373,"4,174","4,207","4,259","40,640,645",742,1,1
"Blount County, Alabama",774,"8,441","8,515","8,554","73,572,453",666,1,1
"Bullock County, Alabama",161,"3,048","3,024","3,004","26,011,586",661,1,1
"Butler County, Alabama",479,"6,719","6,705","6,759","57,800,134",661,1,1
"Calhoun County, Alabama","2,544","44,407","44,466","44,708","435,505,109",752,1,1
"Chambers County, Alabama",602,"8,389","8,370","8,377","78,424,970",720,1,1
"Cherokee County, Alabama",416,"5,343","5,356","5,295","45,668,392",659,1,1
"Chilton County, Alabama",796,"9,616","9,629","9,661","87,220,528",696,1,1
"Choctaw County, Alabama",313,"3,638","3,679","3,752","43,415,417",905,1,1
"Clarke County, Alabama",653,"8,089","8,073","8,090","78,527,768",747,1,1
"Clay County, Alabama",215,"4,296","4,275","4,278","36,234,089",651,1,1
"Cleburne County, Alabama",220,"2,111","2,137","2,136","23,675,511",856,1,1
"Coffee County, Alabama","1,071","15,802","15,877","15,907","135,293,581",656,1,1
"Colbert County, Alabama","1,302","23,665","23,711","23,854","257,755,423",835,1,1
"Conecuh County, Alabama",257,"3,503","3,476","3,511","30,642,841",674,1,1
"Coosa County, Alabama",121,"1,396","1,428","1,424","11,954,112",649,1,1
"Covington County, Alabama",891,"12,512","12,488","12,573","111,811,945",687,1,1
"Crenshaw County, Alabama",253,"3,647","3,689","3,661","33,875,124",711,1,1
"Cullman County, Alabama","1,844","28,997","29,209","29,123","274,658,953",726,1,1
"Dale County, Alabama",867,"16,880","16,967","16,957","231,820,217","1,053",1,1
"Dallas County, Alabama",851,"12,583","12,509","12,568","113,175,744",694,1,1
"DeKalb County, Alabama","1,190","21,871","21,878","21,913","196,085,844",689,1,1
"Elmore County, Alabama","1,384","19,841","20,015","20,148","171,552,787",660,1,1
"Escambia County, Alabama",849,"12,885","12,845","12,819","123,921,672",742,1,1
"Etowah County, Alabama","2,090","36,298","36,402","36,518","327,684,662",692,1,1
"Fayette County, Alabama",348,"3,948","4,081","4,123","32,995,415",627,1,1
"Franklin County, Alabama",585,"10,821","10,797","10,870","97,169,946",690,1,1
"Geneva County, Alabama",498,"4,978","5,039","5,095","40,787,792",623,1,1
"Greene County, Alabama",164,"1,764","1,807","1,782","15,512,661",669,1,1
"Hale County, Alabama",282,"2,770","2,771","2,737","24,962,900",696,1,1
"Henry County, Alabama",340,"3,280","3,319","3,372","30,334,037",702,1,1
"Houston County, Alabama","2,973","48,139","48,097","48,263","490,961,635",784,1,1
"Jackson County, Alabama",987,"16,032","16,084","16,173","145,750,752",697,1,1
"Jefferson County, Alabama","18,789","348,393","349,356","351,375","4,699,797,371","1,034",1,1
"Lamar County, Alabama",286,"3,443","3,437","3,498","34,737,855",772,1,1
"Lauderdale County, Alabama","2,103","30,025","30,035","29,890","258,810,301",664,1,1
"Lawrence County, Alabama",453,"4,867","4,876","4,928","41,970,191",660,1,1
"Lee County, Alabama","3,179","58,810","58,580","59,075","574,936,519",752,1,1
"Limestone County, Alabama","1,448","24,550","23,967","23,299","286,002,471",919,1,1
"Lowndes County, Alabama",170,"2,345","2,352","2,433","27,133,650",878,1,1
"Macon County, Alabama",235,"4,829","4,799","4,788","50,783,048",813,1,1
"Madison County, Alabama","9,669","198,995","200,120","200,924","2,864,245,438","1,102",1,1
"Marengo County, Alabama",523,"7,037","7,053","7,072","68,340,521",745,1,1
"Marion County, Alabama",627,"9,995","10,022","10,153","89,782,521",687,1,1
"Marshall County, Alabama","2,088","36,774","36,938","37,222","332,906,228",693,1,1
"Mobile County, Alabama","10,205","170,728","170,786","171,551","1,945,294,619",875,1,1
"Monroe County, Alabama",444,"6,179","6,200","6,172","63,498,069",790,1,1
"Montgomery County, Alabama","6,390","131,246","131,784","132,284","1,472,224,046",859,1,1
"Morgan County, Alabama","2,768","47,923","48,437","48,810","534,751,042",850,1,1
"Perry County, Alabama",156,"2,146","2,095","2,074","16,376,482",598,1,1
"Pickens County, Alabama",336,"3,889","3,914","3,860","36,020,235",713,1,1
"Pike County, Alabama",715,"14,336","14,329","14,379","142,253,579",763,1,1
"Randolph County, Alabama",400,"4,855","4,893","4,820","40,280,116",638,1,1
"Russell County, Alabama",916,"14,095","14,138","14,140","129,901,451",707,1,1
"St. Clair County, Alabama","1,510","19,796","19,910","19,882","181,145,449",702,1,1
"Shelby County, Alabama","5,814","84,554","85,139","85,594","1,088,173,456",984,1,1
