Geography,Quarterly_Establishments,July_Employment,August_Employment,September_Employment,Total_Quarterly_Wages,Average_Weekly_Wage,September_Employment_Location_Quotient,Total_Quarterly_Wages_Location_Quotient
U.S. TOTAL,"10,189,894","147,574,087","148,673,869","149,191,158","$2,112,260,791,432 ","$1,094 ",1,1
Alabama,"129,510","1,988,720","1,994,135","1,997,399","23,575,590,252",910,1,1
"Autauga County, Alabama",886,"11,081","11,181","11,136","107,108,869",740,1,1
"Baldwin County, Alabama","6,486","76,865","78,057","79,276","729,947,986",719,1,1
"Barbour County, Alabama",561,"8,150","8,172","8,158","74,220,092",700,1,1
"Bibb County, Alabama",372,"4,567","4,635","4,685","48,603,409",808,1,1
"Blount County, Alabama",789,"8,768","8,748","8,848","76,111,469",666,1,1
"Bullock County, Alabama",179,"2,992","3,002","2,982","27,391,071",704,1,1
"Butler County, Alabama",489,"7,002","7,206","7,052","60,808,278",660,1,1
"Calhoun County, Alabama","2,552","44,460","44,748","44,797","447,537,934",771,1,1
"Chambers County, Alabama",624,"8,476","8,515","8,504","81,465,989",737,1,1
"Cherokee County, Alabama",411,"5,272","5,296","5,322","46,440,750",674,1,1
"Chilton County, Alabama",817,"9,565","9,641","9,661","90,619,219",724,1,1
"Choctaw County, Alabama",324,"3,779","3,652","3,595","47,115,702",986,1,1
"Clarke County, Alabama",665,"7,988","8,019","8,013","81,589,773",784,1,1
"Clay County, Alabama",217,"4,294","4,276","4,270","38,030,716",684,1,1
"Cleburne County, Alabama",234,"2,061","2,070","2,062","21,109,312",787,1,1
"Coffee County, Alabama","1,070","16,371","16,507","16,649","142,619,745",665,1,1
"Colbert County, Alabama","1,339","24,343","24,378","24,236","270,094,012",854,1,1
"Conecuh County, Alabama",257,"3,456","3,451","3,461","31,259,003",696,1,1
"Coosa County, Alabama",128,"1,421","1,450","1,466","12,385,441",659,1,1
"Covington County, Alabama",912,"12,289","12,298","12,311","110,533,177",691,1,1
"Crenshaw County, Alabama",264,"3,801","3,879","3,807","36,351,767",730,1,1
"Cullman County, Alabama","1,855","29,036","29,150","29,024","287,098,179",760,1,1
"Dale County, Alabama",871,"17,200","17,401","17,278","223,693,519",995,1,1
"Dallas County, Alabama",861,"12,368","12,236","12,175","117,583,328",738,1,1
"DeKalb County, Alabama","1,207","22,380","22,428","22,561","209,912,368",719,1,1
"Elmore County, Alabama","1,417","19,907","20,177","20,040","177,353,651",681,1,1
"Escambia County, Alabama",839,"12,938","12,914","12,922","130,370,735",776,1,1
"Etowah County, Alabama","2,116","35,710","35,948","35,898","332,797,757",714,1,1
"Fayette County, Alabama",340,"3,918","4,032","4,042","34,339,767",661,1,1
"Franklin County, Alabama",604,"11,081","11,177","11,218","101,934,651",703,1,1
"Geneva County, Alabama",501,"5,112","5,178","5,213","43,052,265",641,1,1
"Greene County, Alabama",161,"1,803","1,805","1,791","16,316,400",697,1,1
"Hale County, Alabama",286,"2,691","2,667","2,657","24,529,993",706,1,1
"Henry County, Alabama",341,"3,310","3,335","3,328","31,582,786",731,1,1
"Houston County, Alabama","3,005","48,782","48,962","49,064","511,206,445",804,1,1
"Jackson County, Alabama","1,010","15,817","15,913","15,839","146,560,400",711,1,1
"Jefferson County, Alabama","19,145","353,053","354,138","355,812","4,887,061,640","1,061",1,1
"Lamar County, Alabama",280,"3,445","3,496","3,494","35,740,487",790,1,1
"Lauderdale County, Alabama","2,143","29,909","29,913","29,578","263,526,681",680,1,1
"Lawrence County, Alabama",474,"5,111","5,099","5,064","43,889,170",663,1,1
"Lee County, Alabama","3,309","60,256","59,808","59,883","600,739,357",770,1,1
"Limestone County, Alabama","1,499","25,042","24,441","23,890","301,357,512",948,1,1
"Lowndes County, Alabama",180,"2,304","2,262","2,297","28,262,585",950,1,1
"Macon County, Alabama",239,"4,629","4,592","4,566","52,635,576",881,1,1
"Madison County, Alabama","9,986","203,944","205,225","206,552","3,071,818,922","1,151",1,1
"Marengo County, Alabama",524,"7,186","7,290","7,287","74,080,720",786,1,1
"Marion County, Alabama",629,"10,075","10,115","10,117","91,587,480",697,1,1
"Marshall County, Alabama","2,136","37,907","38,193","38,390","347,759,289",701,1,1
"Mobile County, Alabama","10,335","171,089","171,340","171,694","2,015,989,483",905,1,1
"Monroe County, Alabama",452,"6,224","6,330","6,249","65,673,763",806,1,1
"Montgomery County, Alabama","6,430","131,215","132,084","131,838","1,523,321,330",890,1,1
"Morgan County, Alabama","2,812","49,874","49,904","50,156","577,466,509",889,1,1
"Perry County, Alabama",159,"2,153","2,141","2,049","16,760,942",610,1,1
"Pickens County, Alabama",338,"3,797","3,732","3,742","37,013,809",758,1,1
"Pike County, Alabama",731,"14,409","14,208","14,190","146,723,111",791,1,1
"Randolph County, Alabama",403,"4,759","4,742","4,681","39,983,730",651,1,1
"Russell County, Alabama",931,"14,039","14,135","14,089","131,973,430",721,1,1
"St. Clair County, Alabama","1,563","20,214","20,342","20,176","192,899,398",733,1,1
"Shelby County, Alabama","5,903","84,843","85,263","85,469","1,116,650,595","1,008",1,1
"Sumter County, Alabama",245,"3,035","3,010","2,995","29,066,222",742,1,1
"Talladega County, Alabama","1,409","30,019","29,946","29,948","344,516,973",884,1,1
"Tallapoosa County, Alabama",864,"13,407","13,648","13,645","117,284,669",665,1,1
"Tuscaloosa County, Alabama","4,640","97,431","97,065","96,441","1,110,108,398",881,1,1
"Walker County, Alabama","1,408","18,629","18,520","18,515","179,643,674",745,1,1
"Washington County, Alabama",277,"3,571","3,626","3,621","55,457,339","1,183",1,1
"Wilcox County, Alabama",247,"2,791","2,781","2,843","31,500,862",864,1,1
"Winston County, Alabama",493,"8,060","8,142","8,232","75,347,980",712,1,1
"Unknown Or Undefined, Alabama","14,336","57,246","56,100","56,555","1,000,072,658","1,358",1,1
Alaska,"22,036","317,716","330,921","339,288","4,602,801,809","1,075",1,1
"Aleutians East Borough, Alaska",98,"2,208","1,289","2,619","24,297,177",917,1,1
"Aleutians West Census Area, Alaska",167,"3,682","2,417","3,094","46,772,753","1,174",1,1
"Anchorage Municipality, Alaska","8,157","147,518","150,587","150,306","2,207,711,866","1,136",1,1
"Bethel Census Area, Alaska",340,"6,721","6,842","7,569","78,138,906",853,1,1
"Bristol Bay Borough, Alaska",130,"1,149","1,279","2,322","18,823,231",914,1,1
"Denali Borough, Alaska",144,"1,098","2,935","3,689","25,082,233",750,1,1
"Dillingham Census Area, Alaska",157,"2,360","2,386","3,079","29,999,501",885,1,1
"Fairbanks North Star Borough, Alaska","2,266","36,399","37,921","37,374","502,645,215","1,039",1,1
"Haines Borough, Alaska",156,888,"1,157","1,324","10,385,976",711,1,1
"Hoonah-Angoon Census Area, Alaska",135,703,"1,024","1,124","8,091,210",655,1,1
"Juneau City and Borough, Alaska","1,107","17,163","18,731","18,628","235,120,722",995,1,1
"Kenai Peninsula Borough, Alaska","2,076","18,843","20,780","21,723","259,393,721",976,1,1
"Ketchikan Gateway Borough, Alaska",605,"6,757","7,724","8,289","89,729,857",909,1,1
"Kodiak Island Borough, Alaska",491,"5,581","5,734","5,966","66,002,701",881,1,1
"Kusilvak Census Area, Alaska",139,"2,336","2,431","2,207","17,374,028",575,1,1
"Lake and Peninsula Borough, Alaska",120,801,963,"1,172","9,411,360",740,1,1
"Matanuska-Susitna Borough, Alaska","2,237","24,307","25,517","25,619","282,764,243",865,1,1
"Nome Census Area, Alaska",304,"3,796","3,883","3,942","55,254,709","1,097",1,1
"North Slope Borough, Alaska",245,"12,923","12,320","12,490","307,076,472","1,878",1,1
"Northwest Arctic Borough, Alaska",164,"2,821","2,882","2,888","52,242,249","1,403",1,1
"Petersburg Borough, Alaska",163,"1,141","1,204","1,290","12,207,642",775,1,1
"Prince of Wales-Hyder Census Area, Alaska",240,"2,212","2,314","2,546","26,629,449",869,1,1
"Sitka City and Borough, Alaska",363,"4,034","4,501","4,713","52,657,666",917,1,1
"Skagway Municipality, Alaska",132,648,"1,417","1,573","11,629,799",738,1,1
"Southeast Fairbanks Census Area, Alaska",248,"2,342","2,523","2,570","41,699,130","1,294",1,1
"Valdez-Cordova Census Area, Alaska",557,"4,399","5,067","5,950","70,162,956","1,050",1,1
"Wrangell City and Borough, Alaska",94,816,883,900,"9,251,638",821,1,1
"Yakutat City and Borough, Alaska",42,279,300,297,"3,272,328",862,1,1
"Yukon-Koyukuk Census Area, Alaska",261,"2,270","2,320","2,397","22,642,853",748,1,1
"Unknown Or Undefined, Alaska",698,"1,521","1,590","1,628","26,330,218","1,282",1,1
Arizona,"163,521","2,902,562","2,893,959","2,852,485","37,846,791,261","1,010",1,1
"Apache County, Arizona",614,"17,986","17,690","17,657","207,974,088",900,1,1
"Cochise County, Arizona","2,271","34,022","34,268","33,823","392,745,213",888,1,1
"Coconino County, Arizona","3,411","62,663","63,418","62,741","673,415,791",823,1,1
"Gila County, Arizona",974,"14,983","15,171","15,148","161,446,625",822,1,1
"Graham County, Arizona",553,"9,531","9,550","9,234","104,921,666",855,1,1
"Greenlee County, Arizona",96,"5,133","5,092","5,148","91,261,162","1,370",1,1
"La Paz County, Arizona",355,"6,032","6,090","6,191","59,371,243",748,1,1
"Maricopa County, Arizona","103,527","2,053,479","2,050,143","2,020,048","27,996,407,739","1,055",1,1
"Mohave County, Arizona","3,806","51,656","51,665","51,062","506,328,977",757,1,1
"Navajo County, Arizona","1,648","26,904","27,343","27,213","273,695,278",775,1,1
"Pima County, Arizona","18,897","376,713","376,620","371,251","4,467,685,890",917,1,1
"Pinal County, Arizona","3,243","63,434","63,460","61,990","698,565,634",853,1,1
"Santa Cruz County, Arizona","1,165","13,784","13,840","13,711","162,951,901",910,1,1
"Yavapai County, Arizona","5,760","65,521","65,535","64,996","661,887,770",779,1,1
"Yuma County, Arizona","3,288","68,010","61,101","59,557","655,186,693",801,1,1
"Unknown Or Undefined, Arizona","13,913","32,711","32,973","32,715","732,945,591","1,719",1,1
Arkansas,"91,440","1,224,805","1,227,176","1,223,147","13,719,712,571",861,1,1
"Arkansas County, Arkansas",829,"10,280","10,357","10,322","107,510,112",801,1,1
"Ashley County, Arkansas",579,"6,715","6,792","6,736","74,209,527",846,1,1
"Baxter County, Arkansas","1,230","14,872","15,022","15,008","133,787,795",688,1,1
"Benton County, Arkansas","6,697","121,844","122,459","122,565","1,898,382,084","1,194",1,1
"Boone County, Arkansas",964,"14,348","14,370","14,370","148,534,358",796,1,1
"Bradley County, Arkansas",371,"3,826","3,866","3,869","35,190,707",702,1,1
"Calhoun County, Arkansas",104,"3,082","3,115","3,125","42,788,265","1,059",1,1
"Carroll County, Arkansas",784,"10,820","10,956","11,030","84,577,155",595,1,1
"Chicot County, Arkansas",501,"2,974","3,001","3,055","24,871,133",636,1,1
"Clark County, Arkansas",666,"9,448","9,308","9,043","82,336,511",684,1,1
"Clay County, Arkansas",372,"3,161","3,164","3,179","25,193,920",612,1,1
"Cleburne County, Arkansas",651,"6,442","6,526","6,657","65,746,679",773,1,1
"Cleveland County, Arkansas",127,"1,038","1,029","1,024","8,478,604",633,1,1
"Columbia County, Arkansas",707,"8,110","8,052","8,097","79,921,396",760,1,1
"Conway County, Arkansas",543,"6,527","6,500","6,635","64,119,530",753,1,1
"Craighead County, Arkansas","2,842","51,920","51,995","52,078","518,577,768",767,1,1
"Crawford County, Arkansas","1,269","19,731","19,883","19,918","184,841,273",717,1,1
"Crittenden County, Arkansas","1,210","16,625","16,684","16,746","154,439,634",712,1,1
"Cross County, Arkansas",481,"4,766","4,811","4,936","40,932,061",651,1,1
"Dallas County, Arkansas",232,"2,683","2,672","2,698","22,729,683",651,1,1
"Desha County, Arkansas",533,"4,676","4,671","4,713","42,467,934",697,1,1
"Drew County, Arkansas",545,"6,420","6,531","6,451","59,134,098",703,1,1
"Faulkner County, Arkansas","2,885","41,414","41,304","41,115","427,816,774",797,1,1
"Franklin County, Arkansas",400,"4,860","4,858","4,797","43,731,028",695,1,1
"Fulton County, Arkansas",209,"2,046","2,106","2,166","16,893,503",617,1,1
"Garland County, Arkansas","3,074","38,575","38,025","38,176","350,444,109",705,1,1
"Grant County, Arkansas",357,"4,305","4,293","4,385","44,969,743",799,1,1
"Greene County, Arkansas",895,"15,770","15,864","15,665","152,849,067",746,1,1
"Hempstead County, Arkansas",529,"7,934","7,862","7,819","71,692,198",701,1,1
"Hot Spring County, Arkansas",617,"8,275","8,223","8,281","77,514,115",722,1,1
"Howard County, Arkansas",364,"6,678","6,652","6,682","58,396,804",673,1,1
"Independence County, Arkansas",924,"16,474","16,292","16,276","163,923,714",771,1,1
"Izard County, Arkansas",258,"3,145","3,174","3,050","25,692,450",633,1,1
"Jackson County, Arkansas",440,"5,210","5,236","5,207","48,189,227",710,1,1
"Jefferson County, Arkansas","2,044","27,177","27,192","26,806","282,100,906",802,1,1
"Johnson County, Arkansas",495,"8,517","8,538","8,461","72,708,979",658,1,1
"Lafayette County, Arkansas",168,"1,196","1,223","1,190","10,143,167",649,1,1
"Lawrence County, Arkansas",415,"3,982","3,982","3,926","34,532,415",670,1,1
"Lee County, Arkansas",271,"1,854","1,848","1,829","15,659,619",653,1,1
"Lincoln County, Arkansas",295,"2,867","2,863","2,876","25,199,375",676,1,1
"Little River County, Arkansas",266,"3,544","3,494","3,502","43,263,269",947,1,1
"Logan County, Arkansas",506,"5,157","5,154","5,210","43,271,326",643,1,1
"Lonoke County, Arkansas","1,320","14,214","14,188","14,319","128,798,640",696,1,1
"Madison County, Arkansas",270,"3,362","3,385","3,415","30,230,407",687,1,1
"Marion County, Arkansas",292,"3,956","3,993","4,010","31,877,582",615,1,1
"Miller County, Arkansas",885,"13,251","13,261","13,449","138,033,902",797,1,1
"Mississippi County, Arkansas","1,122","17,958","17,949","17,659","231,959,442",999,1,1
"Monroe County, Arkansas",282,"2,050","2,047","2,047","16,130,435",606,1,1
"Montgomery County, Arkansas",172,"1,293","1,349","1,387","10,110,598",579,1,1
"Nevada County, Arkansas",210,"2,518","2,520","2,506","24,502,714",750,1,1
"Newton County, Arkansas",127,"1,068","1,090","1,095","8,158,174",579,1,1
"Ouachita County, Arkansas",661,"6,898","6,949","6,978","63,365,709",702,1,1
"Perry County, Arkansas",150,"1,114","1,123","1,119","9,360,369",644,1,1
"Phillips County, Arkansas",744,"5,440","5,458","5,427","47,533,975",672,1,1
"Pike County, Arkansas",266,"2,664","2,686","2,748","22,851,486",651,1,1
"Poinsett County, Arkansas",495,"5,343","5,356","5,340","49,796,037",716,1,1
"Polk County, Arkansas",499,"5,957","5,950","5,920","50,729,320",657,1,1
"Pope County, Arkansas","1,864","26,032","26,002","25,596","267,831,967",796,1,1
"Prairie County, Arkansas",266,"1,473","1,492","1,461","12,195,677",636,1,1
"Pulaski County, Arkansas","14,489","252,620","253,036","254,050","3,122,888,529",949,1,1
"Randolph County, Arkansas",400,"5,805","5,848","5,896","48,310,537",635,1,1
"St. Francis County, Arkansas",693,"7,275","7,319","7,374","69,503,888",730,1,1
"Saline County, Arkansas","2,093","24,787","24,936","25,040","232,503,275",718,1,1
"Scott County, Arkansas",192,"3,054","3,053","3,080","24,774,767",622,1,1
"Searcy County, Arkansas",177,"1,515","1,631","1,680","10,936,438",523,1,1
"Sebastian County, Arkansas","3,719","64,453","64,837","64,288","704,618,399",840,1,1
"Sevier County, Arkansas",325,"4,636","4,710","4,706","40,298,441",662,1,1
"Sharp County, Arkansas",392,"3,538","3,638","3,545","26,293,541",566,1,1
"Stone County, Arkansas",278,"2,681","2,657","2,693","20,880,718",600,1,1
"Union County, Arkansas","1,293","17,460","17,388","17,315","208,932,121",924,1,1
